ID	code_num2	code_name	Code_ID	Questionnaire Name (Tool)	Author	Year	Concept	Question	user_id	question_source_id
1	2E1	Total Benefit	71	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	The time spent using a computer is out of proportion to the benefits	0	0
2	3B2	Task Compatibility	61	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Nursing data does not lend itself to computers	0	0
3	3B4	Quality Care	82	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computerization of nursing data offers nurses a remarkable opportunity to improve patient care	0	0
4	3B5	Time on Patient	83	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers allow the nurse more time for the professional tasks for which he/she is trained	0	0
5	3B5	Time on Patient	83	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers cause nurses to give less time to quality patient care	0	0
6	3B5	Time on Patient	83	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Paperwork for nurses has been greatly reduced by the use of computers	0	0
7	3B5	Time on Patient	83	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Increased computer usage will allow nurses more time to give patient care	0	0
8	3B6	Communication Impacts	84	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers cause a decrease in communication between hospital departments	0	0
9	3C3	General Efficiency	87	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Only one person at a time can use a computer terminal and therefore, staff efficiency is inhibited	0	0
10	3C3	General Efficiency	87	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers save steps and allow the nursing staff to become more efficient	0	0
11	3C4	Easier Work	88	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers make nurses' jobs easier	0	0
12	4F	Perceived Costs	31	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	A computer increases costs by increasing the nurses' workload	0	0
13	4F	Perceived Costs	31	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Part of the increase in costs of health care is because of computers	0	0
14	4F1	Organization Time Cost	92	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Orientation for new employees takes longer because of computers, and, therefore, unnecessary work delays occur	0	0
15	5A2A	Legality	111	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Because of computers, nurses will face more lawsuits	0	0
16	5A2B	Privacy	112	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers represent a violation of patient privacy	0	0
